NAME	COUNTRY	FIELD	AREA	UWI	DEPTHTMD	DEPTHTVD	X	Y	Z
Rio 11		Rio		1123570080			10.2340000	36.6749999	0
Rio 12		Rio		1123570090			10.2379999	36.6790000	0
Rio 13		Rio		1123570100			10.2340000	36.6760000	0
Rio 14		Rio		1123570110			10.2370000	36.6779999	0
Rio 15		Rio		1123570120			10.2349999	36.6769999	0
Rio 16		Rio		1123570130			10.2360000	36.6769999	0
Rio 17		Rio		1123570140			10.2370000	36.6790000	0
Haydar11		Haydar		1123460010			10.2129999	36.6779999	0
Haydar12		Haydar		1123460020			10.2216667	36.6790000	0
Haydar13		Haydar		1123460030			10.2279999	36.6749999	0
Haydar14		Haydar		1123460040			10.2300000	36.6719999	0
Haydar14ST		Haydar		1123460041			10.2300000	36.6719999	0
Haydar16		Haydar		1123460060			10.2200000	36.6859999	0
Haydar17		Haydar		1123460070			10.2319999	36.6739999	0
Eureka14		Eureka		1Eureka4			21.1104869	1.6657271	0
Brill 14xx		Brill		1AUTO-364515259119			-81.1488133	41.0717657	0
Brill 15xx		Brill		1AUTO-740062480333			-81.1487683	41.0717410	0
